Sample,Country,DNA_Extraction,Library_Method,Taxa,TotalReads,MappedReads,Q37Reads,UniqueReads,AvgLength,MapStats_Mean_1,MapStats_Mean_2,MapStats_Mean_3,MapStats_Mean_4,MapStats_Mean_5,MapStats_Mean_6,MapStats_Std_1,MapStats_Std_2,MapStats_Std_3,MapStats_Std_4,MapStats_Std_5,MapStats_Std_6
Hungary_18416_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,571189,33836,31353,30332,63.5754,0.023395446,0.017643797,0.998192506,0.420157439,0.196754765,-1383.535049,0.000492791,0.000639317,0.00179408,0.003084786,0.006344242,1.702673691
Hungary_18416_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,5657100,179859,161979,149258,51.5127,0.019511304,0.023616681,0.999656533,0.418404701,0.23370046,-4479.794025,0.000193152,0.000307293,0.000349641,0.001415417,0.003484788,1.751953759
Hungary_18416_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,1138507,88900,85480,81301,117.656,0.028382687,0.019741285,0.998745462,0.506017635,0.180998225,-4211.057121,0.000329773,0.000358588,0.001244867,0.002263186,0.003328098,1.757550582
Hungary_18416_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,17377666,703509,658381,564194,65.3078,0.021284349,0.022736305,0.997554283,0.498780375,0.20598998,-11800.81303,0.000102896,0.000143199,0.002120173,0.001066661,0.001563267,1.664392967
Hungary_18421_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,589146,67453,64448,61748,79.4688,0.027487679,0.015223422,0.893277906,0.552725952,0.158752643,-3155.778046,0.000371279,0.000397403,0.017967933,0.006412642,0.003570911,1.571554772
Hungary_18421_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,4566559,323005,304337,273192,69.011,0.022787634,0.0186152,0.999434538,0.545573402,0.195463208,-5626.886483,0.000154228,0.000173542,0.000568796,0.001240861,0.002063841,1.707758045
Hungary_18421_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,1531256,216346,208400,166822,112.238,0.027376132,0.017303685,0.99941561,0.526562052,0.181062721,-8459.932728,0.000229539,0.000234306,0.000579368,0.001596158,0.002379934,1.716114729
Hungary_18421_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,4939739,434843,411257,361960,68.0845,0.022287642,0.019192088,0.997754099,0.532680129,0.190437508,-7463.622887,0.000133435,0.000162556,0.002098688,0.001261192,0.001807633,1.702974541
Hungary_18427_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,949368,1837,1411,1376,67.4244,0.041658613,0.014690698,0.917219794,0.443908037,0.227452768,-456.5642383,0.003135744,0.003332334,0.056020511,0.023354864,0.025301118,1.531658478
Hungary_18427_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,10185382,10440,7142,7003,52.9105,0.035258685,0.032490812,0.784994592,0.435694437,0.38994767,-928.5402966,0.00123736,0.00198603,0.044571805,0.021044415,0.018064718,1.582030294
Hungary_18427_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,2037388,34139,32110,30113,130.579,0.031479261,0.019484778,0.707126006,0.4384552,0.168180768,-2030.073354,0.000562989,0.000780625,0.019237731,0.009559582,0.004873849,1.577717943
Hungary_18427_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,303465,2326,1967,620,44.7645,0.030872903,0.019003615,0.737378805,0.468959784,0.284494436,-301.857802,0.003728251,0.005084875,0.123819585,0.06117318,0.051166435,1.494741618
Niger_18393_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,48321,0,0,0,0,22.2819345,0.496357953,0.506112366,0.499211232,187.9550709,0,16.50415061,0.289616551,0.286662321,0.292827975,53.23769517,0
Niger_18393_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,2308,58,48,47,62.5106,0.07117274,0.016491622,0.636485943,0.527976797,0.053121693,-73.80948512,0.018387138,0.011985861,0.221560888,0.141823203,0.041653872,1.585220477
Niger_18393_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,54932,2,2,2,25,0.187568052,0.072102975,0.399332155,0.592297659,2.02509179,-19.35045123,0.152664311,0.068542516,0.284118721,0.271894288,3.614395939,1.536446252
Niger_18393_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,706286,22475,20984,4347,59.0501,0.024669355,0.021281479,0.976034892,0.471413023,0.150568409,-590.1151853,0.001289219,0.001736454,0.020972674,0.011577179,0.013234425,1.64742766
Niger_18398_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,72142,0,0,0,0,27.75381662,0.498994344,0.498385137,0.506142227,47.0689717,0,17.62670358,0.287771139,0.289525594,0.287283391,34.57951322,0
Niger_18398_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,33054,903,842,267,57.9775,0.074144942,0.001700015,0.76925945,0.628612499,0.06875385,-279.4286154,0.007345272,0.001636016,0.153821392,0.063028842,0.018854873,1.683759129
Niger_18398_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,84006,0,0,0,0,41.86153457,0.498091364,0.50288177,0.500060694,81.98991339,0,20.97218756,0.288806059,0.288634722,0.288894735,76.03578667,0
Niger_18398_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,76958,2552,2360,657,59.3896,0.021874289,0.024976445,0.915423496,0.478336815,0.196411699,-243.7713962,0.003162974,0.004509905,0.064759694,0.033923344,0.045283649,1.617333021
Niger_18400_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,32956,2,1,1,26,0.052632705,0.158563103,0.442076617,0.540873821,34.14999414,-9.909781583,0.103504455,0.138763146,0.288974049,0.280914666,37.40289952,1.27775431
Niger_18400_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,277168,1942,1790,342,56.3509,0.078492372,0.003960405,0.648113684,0.656054353,0.04072217,-285.9425673,0.006971393,0.003024511,0.196427967,0.089680054,0.012097254,1.4826218
Niger_18400_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,112968,1,0,0,0,39.94971312,0.499048993,0.49652117,0.500479481,62.22628263,0,26.68315186,0.289352828,0.288638558,0.290592611,38.89737516,0
Niger_18400_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,118009,2944,2744,586,62.0478,0.076385027,0.001156221,0.846405733,0.651830133,0.063602331,-478.2353635,0.005054446,0.001090705,0.113416461,0.044032798,0.011856362,1.71240835
Niger_18400_QG_SSL,Niger,QG,SSL,Methanobrevibacter_oralis,118009,2113,1150,93,52.0753,0.09238353,0.029883822,0.564340464,0.642978734,0.57762916,-212.878669,0.015992223,0.0141934,0.26138102,0.184913907,0.132866479,1.4596744
Niger_18400_QG_DSL,Niger,QG,DSL,Methanobrevibacter_oralis,112968,0,0,0,0,37.78972496,0.495666596,0.493324394,0.496749396,55.27449755,0,20.77611977,0.289610147,0.288548315,0.288289845,41.10456118,0
Niger_18400_PB_SSL,Niger,PB,SSL,Methanobrevibacter_oralis,277168,12127,6410,70,44.3429,0.125824051,0.077015143,0.308536208,0.639182757,0.490346718,-204.969081,0.022454865,0.023523377,0.268362772,0.295913867,0.116949876,1.326693095
Niger_18400_PB_DSL,Niger,PB,DSL,Methanobrevibacter_oralis,32956,0,0,0,0,18.26161374,0.499355016,0.497386948,0.495312086,174.0581369,0,11.75299757,0.29103213,0.287709023,0.289317627,120.2245364,0
