SampleID,Site,DS_SS,PB_QG,end,change.point,p.val,sig,cc,kkt1,kkt2,bases,id,func,p.val.adj,sigM
Niger_DSL_PB_18393v2_3_end_prop,Niger,DS,PB,3,1,1,-,0,TRUE,FALSE,A,Niger_DSL_PB_18393v2,3,1,Non-Sig
Niger_DSL_PB_18393v2_5_end_prop,Niger,DS,PB,5,1,0.750798643,-,0,TRUE,FALSE,T,Niger_DSL_PB_18393v2,5,1,Non-Sig
Niger_DSL_PB_18398_v2_3_end_prop,Niger,DS,PB,3,1,1,-,0,FALSE,FALSE,A,Niger_DSL_PB_18398_v2,3,1,Non-Sig
Niger_DSL_PB_18398_v2_5_end_prop,Niger,DS,PB,5,1,0.909044259,-,0,TRUE,FALSE,T,Niger_DSL_PB_18398_v2,5,1,Non-Sig
Niger_DSL_PB_18400_v2_3_end_prop,Niger,DS,PB,3,1,1,-,0,TRUE,FALSE,A,Niger_DSL_PB_18400_v2,3,1,Non-Sig
Niger_DSL_PB_18400_v2_5_end_prop,Niger,DS,PB,5,1,1,-,0,FALSE,FALSE,T,Niger_DSL_PB_18400_v2,5,1,Non-Sig
Niger_SSL_PB_18393_3_end_prop,Niger,SS,PB,3,1,1,-,0,TRUE,FALSE,A,SSL18393pNigerDC2PB,3,1,Non-Sig
Niger_SSL_PB_18393_5_end_prop,Niger,SS,PB,5,1,0.068244345,-,0,TRUE,FALSE,T,SSL18393pNigerDC2PB,5,1,Non-Sig
Niger_SSL_PB_18398_3_end_prop,Niger,SS,PB,3,1,1,-,0,FALSE,FALSE,A,Niger_SSL_PB_18398,3,1,Non-Sig
Niger_SSL_PB_18398_5_end_prop,Niger,SS,PB,5,1,1,-,0,FALSE,FALSE,T,Niger_SSL_PB_18398,5,1,Non-Sig
Niger_SSL_PB_18400_3_end_prop,Niger,SS,PB,3,1,1,-,0,TRUE,FALSE,A,Niger_SSL_PB_18400,3,1,Non-Sig
Niger_SSL_PB_18400_5_end_prop,Niger,SS,PB,5,1,0.083786614,-,0,FALSE,FALSE,T,Niger_SSL_PB_18400,5,1,Non-Sig
Niger_DSL_QG_18383_v2_3_end_prop,Niger,DS,QG,3,1,1,-,0,FALSE,FALSE,A,Niger_DSL_QG_18383_v2,3,1,Non-Sig
Niger_DSL_QG_18383_v2_5_end_prop,Niger,DS,QG,5,1,0.688194336,-,0,TRUE,FALSE,T,Niger_DSL_QG_18383_v2,5,1,Non-Sig
Niger_DSL_QG_18398_v2_3_end_prop,Niger,DS,QG,3,1,0.999999927,-,0,TRUE,FALSE,A,Niger_DSL_QG_18398_v2,3,1,Non-Sig
Niger_DSL_QG_18398_v2_5_end_prop,Niger,DS,QG,5,1,1,-,0,TRUE,FALSE,T,Niger_DSL_QG_18398_v2,5,1,Non-Sig
Niger_DSL_QG_18400_v2_3_end_prop,Niger,DS,QG,3,1,1,-,0,TRUE,FALSE,A,Niger_DSL_QG_18400_v2,3,1,Non-Sig
Niger_DSL_QG_18400_v2_5_end_prop,Niger,DS,QG,5,1,0.553649692,-,0,TRUE,FALSE,T,Niger_DSL_QG_18400_v2,5,1,Non-Sig
