SampleID,EBC,ModernCalculus,Plaque,Skin,Soil,Unknown
18416_QG_DSL,0,0.00166876,0.358711645,0.000322986,0,0.639296609
18416_PB_DSL,0,0.004342365,0.154620492,0.000430648,0,0.840606496
18416_PB_SSL,0,0.011250673,0.028602189,0.000574197,1.79E-05,0.959554997
18416_QG_SSL,0,0.005831688,0.174430289,0.000574197,0,0.819163826
18421_QG_DSL,0,0.00186614,0.67929302,0.000107662,0,0.318733178
18421_PB_DSL,0,0.00053831,0.463699982,0.000287099,0,0.53547461
18421_PB_SSL,0,0.001112507,0.236748609,0.000322986,3.59E-05,0.761780011
18421_QG_SSL,0,0.00333752,0.466391531,0.000143549,0,0.5301274
18427_QG_DSL,0,0.012506729,0.347855733,0.000466535,0,0.639171003
18427_PB_DSL,0,0.010299659,0.765314911,0.00053831,0,0.22384712
18427_PB_SSL,0,0.01609546,0.750421676,0.00093307,0,0.232549794
18427_QG_SSL,0,0.043010946,0.507428674,0.000610084,0,0.448950296
