SampleID,Sample,Country,ExtractionMethod,Library,GC, Percentage_unique ,Average
18393_Niger_PB_DSL,Niger_18393,Niger,PB,DSL,55.02,19.8568,95.8
18393_Niger_PB_SSL,Niger_18393,Niger,PB,SSL,39.68,90.5546,52.4
18393_Niger_QG_DSL,Niger_18393,Niger,QG,DSL,53.29,14.2412,52.4
18393_Niger_QG_SSL,Niger_18393,Niger,QG,SSL,37.79,7.39035,63.4
18398_Niger_PB_DSL,Niger_18398,Niger,PB,DSL,53.12,19.3923,56.9
18398_Niger_PB_SSL,Niger_18398,Niger,PB,SSL,43.05,15.7893,63.9
18398_Niger_QG_DSL,Niger_18398,Niger,QG,DSL,52.62,10.2267,48.7
18398_Niger_QG_SSL,Niger_18398,Niger,QG,SSL,42.53,9.61304,56.8
18400_Niger_PB_DSL,Niger_18400,Niger,PB,DSL,52.77,13.6697,43.9
18400_Niger_PB_SSL,Niger_18400,Niger,PB,SSL,43.73,6.40081,55.6
18400_Niger_QG_DSL,Niger_18400,Niger,QG,DSL,56.27,24.6309,117.8
18400_Niger_QG_SSL,Niger_18400,Niger,QG,SSL,46.9,10.1348,66.5
18416_Hungary_PB_DSL,Hungary_18416,Hungary,PB,DSL,51.78,94.8341,60.2
18416_Hungary_PB_SSL,Hungary_18416,Hungary,PB,SSL,39.85,91.5542,46.5
18416_Hungary_QG_DSL,Hungary_18416,Hungary,QG,DSL,53.41,94.8091,110.5
18416_Hungary_QG_SSL,Hungary_18416,Hungary,QG,SSL,44.41,96.2887,59.3
18421_Hungary_PB_DSL,Hungary_18421,Hungary,PB,DSL,56.18,94.7914,69.4
18421_Hungary_PB_SSL,Hungary_18421,Hungary,PB,SSL,46.94,91.2402,54.5
18421_Hungary_QG_DSL,Hungary_18421,Hungary,QG,DSL,54.8,81.0512,102.9
18421_Hungary_QG_SSL,Hungary_18421,Hungary,QG,SSL,47.48,92.3645,60.3
18427_Hungary_PB_DSL,Hungary_18427,Hungary,PB,DSL,51.87,96.1574,59.7
18427_Hungary_PB_SSL,Hungary_18427,Hungary,PB,SSL,41.09,96.7428,46.5
18427_Hungary_QG_DSL,Hungary_18427,Hungary,QG,DSL,48.17,92.3957,116.7
18427_Hungary_QG_SSL,Hungary_18427,Hungary,QG,SSL,40.57,11.7882,46.6
